127.0.0.1 - - [08/Sep/2020:08:56:45 +0900] "GET / HTTP/1.1" 404 807
192.168.1.21 - - [08/Sep/2020:09:01:59 +0900] "GET /yeogiNolja/css/admin.css HTTP/1.1" 200 347150
192.168.1.21 - - [08/Sep/2020:09:01:59 +0900] "GET /yeogiNolja/css/admin.custom.css HTTP/1.1" 304 -
192.168.1.21 - - [08/Sep/2020:09:01:59 +0900] "GET /yeogiNolja/assets/images/avatars/1.jpg HTTP/1.1" 304 -
192.168.1.21 - - [08/Sep/2020:09:01:59 +0900] "GET /yeogiNolja/adminHotelList.mc HTTP/1.1" 200 73878
192.168.1.21 - - [08/Sep/2020:09:01:59 +0900] "GET /yeogiNolja/assets/scripts/main.js HTTP/1.1" 200 1030737
192.168.1.21 - - [08/Sep/2020:09:01:59 +0900] "GET /yeogiNolja/assets/images/logo-inverse.png HTTP/1.1" 304 -
192.168.1.21 - - [08/Sep/2020:09:01:59 +0900] "GET /yeogiNolja/assets/fonts/fa-solid-900.woff2 HTTP/1.1" 304 -
192.168.1.21 - - [08/Sep/2020:09:01:59 +0900] "GET /yeogiNolja/assets/fonts/Pe-icon-7-stroke.woff HTTP/1.1" 304 -
192.168.1.21 - - [08/Sep/2020:09:01:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.1.21 - - [08/Sep/2020:10:10:16 +0900] "GET /yeogiNolja HTTP/1.1" 302 -
192.168.1.21 - - [08/Sep/2020:10:10:16 +0900] "GET /yeogiNolja/ HTTP/1.1" 304 -
192.168.1.21 - - [08/Sep/2020:10:10:16 +0900] "GET /yeogiNolja/main.mc HTTP/1.1" 200 4227
192.168.1.21 - - [08/Sep/2020:10:10:16 +0900] "GET /yeogiNolja/css/bootstrap.min.css HTTP/1.1" 200 121200
192.168.1.21 - - [08/Sep/2020:10:10:16 +0900] "GET /yeogiNolja/css/style.css HTTP/1.1" 304 -
192.168.1.21 - - [08/Sep/2020:10:10:16 +0900] "GET /yeogiNolja/img/background.jpg HTTP/1.1" 200 633260
192.168.1.21 - - [08/Sep/2020:10:10:23 +0900] "GET /yeogiNolja/hotelListAutoCom.mc HTTP/1.1" 200 1968
192.168.1.21 - - [08/Sep/2020:10:10:27 +0900] "GET /yeogiNolja/login.mc HTTP/1.1" 200 4777
192.168.1.21 - - [08/Sep/2020:10:10:27 +0900] "GET /yeogiNolja/fonts/font-awesome-4.7.0/css/font-awesome.min.css HTTP/1.1" 404 883
192.168.1.21 - - [08/Sep/2020:10:10:27 +0900] "GET /yeogiNolja/css/login/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 124962
